0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/banner2.jpg HTTP/1.1" 200 49097
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/main-slider1.jpg HTTP/1.1" 200 151170
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/main-slider2.jpg HTTP/1.1" 200 76515
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/main-slider3.jpg HTTP/1.1" 200 72947
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/main-slider4.jpg HTTP/1.1" 200 132104
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/product1.jpg HTTP/1.1" 200 64638
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/product1_2.jpg HTTP/1.1" 200 51232
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/product2.jpg HTTP/1.1" 200 51340
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/product2_2.jpg HTTP/1.1" 200 45263
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/product3.jpg HTTP/1.1" 200 128981
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/product3_2.jpg HTTP/1.1" 200 70408
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/getinspired2.jpg HTTP/1.1" 200 104079
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/getinspired1.jpg HTTP/1.1" 200 153966
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/img/getinspired3.jpg HTTP/1.1" 200 75048
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:42 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 38205
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/index.jsp HTTP/1.1" 200 51794
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 200 47610
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 200 4591
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 34988
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 200 21643
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/front.js HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/logo.png HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/logo-small.png HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/banner.jpg HTTP/1.1" 200 35695
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/main-slider1.jpg HTTP/1.1" 200 151170
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/main-slider2.jpg HTTP/1.1" 200 76515
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/banner2.jpg HTTP/1.1" 200 49097
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/product1.jpg HTTP/1.1" 200 64638
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/main-slider3.jpg HTTP/1.1" 200 72947
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 200 14916
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/main-slider4.jpg HTTP/1.1" 200 132104
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/product1_2.jpg HTTP/1.1" 200 51232
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/product2.jpg HTTP/1.1" 200 51340
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/product3.jpg HTTP/1.1" 200 128981
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/getinspired1.jpg HTTP/1.1" 200 153966
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/product3_2.jpg HTTP/1.1" 200 70408
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/getinspired3.jpg HTTP/1.1" 200 75048
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/getinspired2.jpg HTTP/1.1" 200 104079
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:18:59 +0530] "GET /MedioxyPharm/img/product2_2.jpg HTTP/1.1" 200 45263
